time,open,high,low,close,Volume,Volume MA,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-11-14T12:40:00+01:00,16727.5,16755.5,16722.5,16724.5,335.555,422.33349999999626,16375.395889094492,16701.752424007467,16049.039354181517,17028.108958920442,15722.682819268543,17354.465493833417,15396.326284355568,16754.828618600943,16751.223924292306,16726.770897805338,16662.287532249793,16571.44805336103,16802.870039614452,16699.57780897016,16854.5161549366,16647.931693648014,16906.162270258745,16596.285578325867,5.921189464667502e-15,10.985697072017231,46.236650516068075,55.81988731467961,NaN,NaN
2022-11-14T12:45:00+01:00,16724.5,16756,16724.5,16738,124.751,406.7679499999963,16375.730530523731,16702.123591296135,16049.337469751328,17028.516652068538,15722.944408978925,17354.90971284094,15396.551348206522,16752.239600354646,16750.02174935664,16727.41256078789,16664.991548955157,16575.149207730785,16800.228856441492,16699.81464227179,16850.435963526343,16649.60753518694,16900.643070611193,16599.40042810209,5.970063051417178,5.452753299502906,49.098908812541424,55.000129623506844,NaN,NaN
2022-11-14T12:50:00+01:00,16738,16756.5,16733.5,16748,138.743,400.5309499999963,16376.10862068754,16702.54927355416,16049.667967820922,17028.989926420778,15723.227314954303,17355.430579287397,15396.786662087685,16751.58735414624,16749.837953960585,16728.588985885723,16667.956136492474,16578.990336447878,16798.10169625366,16701.57421166751,16846.365438546734,16653.310469374435,16894.629180839813,16605.046727081357,16.26533813080019,7.411800394072458,51.17256765071949,54.366062196278556,NaN,NaN
2022-11-14T12:55:00+01:00,16748,16758.5,16740,16741,143,396.2199999999963,16376.498030121013,16702.987765043697,16050.008295198328,17029.477499966382,15723.518560275643,17355.967234889067,15397.028825352958,16749.95853043143,16749.03450360053,16729.298186692253,16670.564845903456,16582.59055119348,16795.172264301244,16702.89674289982,16841.310025001956,16656.758982199106,16887.44778570267,16610.621221498393,23.38034783373205,15.20524967198314,49.64783652471012,53.95036104437918,NaN,NaN
2022-11-14T13:00:00+01:00,16741,16743,16671,16676,689.134,418.79949999999627,16378.112006597188,16704.566193982304,16051.657819212072,17031.02038136742,15725.203631826957,17357.474568752536,15398.74944444184,16738.580294980442,16742.39500327321,16726.252576024122,16670.758958549763,16584.666316722512,16790.380066781014,16694.409939765406,16838.36513028882,16646.4248762576,16886.350193796625,16598.439812749795,17.41028478231488,19.018656915615704,38.250706188188765,52.52177370285527,NaN,NaN
2022-11-14T13:05:00+01:00,16676,16707,16650,16669,620.423,437.7443999999963,16379.454821189882,16705.780063661026,16053.129578718737,17032.105306132173,15726.804336247593,17358.430548603315,15400.479093776448,16727.87563421422,16735.722730248373,16722.981000251315,16670.696138601557,16586.540398573125,16784.351717791335,16687.093742705412,16832.980705334296,16638.46475516245,16881.609692877257,16589.83576761949,7.115009702931867,15.968547439659597,37.258749237140655,50.999174350406484,NaN,NaN
2022-11-14T13:10:00+01:00,16669,16706.5,16657.5,16691.5,463.693,445.77494999999624,16380.483611903175,16706.740047538726,16054.227176267625,17032.996483174276,15727.970740632074,17359.252918809827,15401.714304996523,16722.279382796645,16731.702482043976,16721.18208595124,16671.4391336515,16588.87283416039,16780.357970476725,16683.046993611228,16829.013458909478,16634.391505178475,16877.668947342227,16585.736016745726,6.902268394093503,10.475854293113416,42.426976103845945,49.948136610209765,NaN,NaN
2022-11-14T13:15:00+01:00,16691.5,16706,16681.5,16681.5,223.366,397.8385999999963,16380.984007556539,16707.21314900387,16054.754866109208,17033.442290451203,15728.525724661877,17359.671431898532,15402.296583214546,16716.00563159716,16727.13862003998,16718.9145381826,16671.798450306804,16590.931215623492,16774.06871644182,16680.20852363814,16820.99881284366,16633.2784272363,16867.928909245496,16586.348330834462,11.655276364485884,8.557518153837085,40.81766959313073,48.57174495305656,NaN,NaN
2022-11-14T13:20:00+01:00,16681.5,16711.5,16678.5,16706,431.815,405.70034999999626,16381.974874431522,16708.17620219916,16055.773546663884,17034.377529966798,15729.572218896246,17360.578857734436,15403.370891128608,16714.466303659134,16725.216927309073,16718.176564572164,16673.01993422442,16593.488299720746,16771.152016825068,16679.281837793078,16817.08710634106,16633.346748277087,16863.022195857055,16587.41165876109,27.34792336518809,15.301822707922492,46.20179584744923,47.42774298346455,NaN,NaN
2022-11-14T13:25:00+01:00,16706,16756.5,16702.5,16746,606.265,414.9970499999962,16383.514072518981,16709.833508464046,16057.194636573917,17036.15294440911,15730.875200628852,17362.472380354175,15404.555764683788,16719.31764155773,16727.106297553702,16719.766475168042,16675.626365144977,16596.87744861584,16773.617452104267,16680.59514300314,16820.128606654835,16634.08398845257,16866.6397612054,16587.572833902006,51.01754875465587,30.006916161443282,53.620496661843625,47.23956373609115,NaN,NaN
2022-11-14T13:30:00+01:00,16746,16819,16723.5,16798,1209.752,457.1349499999962,16386.935213715948,16713.908061970786,16059.96236546111,17040.880910225624,15732.989517206272,17367.85375848046,15406.016668951434,16731.422619779616,16733.551179594277,16724.236962301296,16679.996852104086,16601.346838646597,16783.56153739123,16683.540821797324,16833.571895188183,16633.53046400037,16883.58225298514,16583.520106203414,79.59787411759682,52.65444874581359,61.12552955518114,47.67007375505496,NaN,NaN
2022-11-14T13:35:00+01:00,16798,16798.5,16752,16765.5,501.035,472.3479499999962,16388.305835436735,16715.5008797607,16061.11079111277,17042.695924084666,15733.915746788804,17369.890968408632,15406.720702464838,16736.665293659677,16736.45561781298,16726.594850169793,16683.05053595751,16604.994686676673,16786.215235767293,16686.695999858664,16835.974853721607,16636.93638190435,16885.73447167592,16587.176763950036,88.85361679920511,73.15634655715259,55.12188131223783,47.714845307071265,NaN,NaN
2022-11-14T13:40:00+01:00,16765.5,16790,16765,16769.5,284.857,476.51454999999623,16389.086465091794,16716.411244670144,16061.761685513444,17043.736024248494,15734.436905935094,17371.060803826844,15407.112126356744,16741.716786942805,16739.459652557252,16729.046573017233,16686.13801681617,16608.65036030608,16787.45072637197,16691.468578742533,16835.441800186694,16643.47750492781,16883.432874001413,16595.48643111309,84.03559533643008,84.16236208441067,55.69860962771272,48.10413056478501,NaN,NaN
2022-11-14T13:45:00+01:00,16769.5,16807,16765.5,16791,302.586,476.44299999999623,16389.94006267822,16717.433259834543,16062.446865521895,17044.926456990866,15734.953668365572,17372.41965414719,15407.460471209248,16749.298819720836,16744.14513868841,16732.58676884482,16689.883087644164,16612.7025745215,16791.672564373508,16696.617713003314,16839.199990058605,16649.090287318217,16886.727415743702,16601.56286163312,80.74005198825272,84.54308804129597,58.76590928159528,48.96030620802604,NaN,NaN
2022-11-14T13:50:00+01:00,16791,16805,16790,16791,243.962,475.3896999999962,16390.638547313298,16718.281149153987,16062.995945472609,17045.923750994676,15735.35334363192,17373.566352835365,15407.71074179123,16755.714385917632,16748.404671534918,16735.924667767973,16693.494405942587,16616.664739532134,16793.60870967108,16703.200633398756,16838.812747807242,16657.996595262593,16884.016785943404,16612.79255712643,85.82945229109818,83.53503320526032,58.76590928159528,49.85525326270655,NaN,NaN
2022-11-14T13:55:00+01:00,16791,16832.5,16776,16815.5,479.633,429.6308999999962,16392.047546955073,16720.031299820264,16064.063794089881,17048.015052685456,15736.08004122469,17375.998805550647,15408.096288359498,16764.912172699536,16754.504246849927,16740.471829609804,16697.851748587495,16621.083300875864,16800.515139404935,16708.49335429492,16846.52603195994,16662.482461739914,16892.53692451495,16616.471569184905,93.40891330364526,86.65947252766539,62.22265382635099,50.7926636208358,NaN,NaN
