time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-14T14:00:00+01:00,16705.5,16668.11277,16566.70825,16584.81394,16671.95249,16992.41836,17403.32054,15730.09596,92.37046314,55.0804984
2022-11-14T15:00:00+01:00,16594.5,16651.75438,16569.23477,16585.36743,16669.18633,16984.53878,17429.01761,15709.45194,86.83456076,50.87581239
2022-11-14T16:00:00+01:00,16580,16635.80896,16570.21343,16585.06072,16666.0011,16976.52812,17416.36892,15724.05794,78.97265347,50.33526007
2022-11-14T17:00:00+01:00,16471,16599.18475,16561.19403,16578.54296,16659.03678,16966.51766,17405.62413,15716.76393,71.57430426,46.34862563
2022-11-14T18:00:00+01:00,16574,16593.58814,16562.35821,16578.28336,16655.99975,16958.74503,17384.61473,15740.10169,71.12907937,50.35033744
2022-11-14T19:00:00+01:00,16605,16596.12411,16566.23473,16579.81003,16654.17833,16951.74018,17359.97293,15772.49654,72.13484096,51.52230627
2022-11-14T20:00:00+01:00,16252,16519.65208,16537.66794,16561.07803,16639.81482,16937.88394,17372.53198,15702.8039,50.6812723,39.95631453
2022-11-14T21:00:00+01:00,16262,16462.39606,16512.60722,16543.98785,16626.32143,16924.5001,17321.48097,15703.73347,26.50403626,40.36472866
2022-11-14T22:00:00+01:00,16387,16445.64138,16501.18838,16535.01712,16617.77424,16913.85653,17285.49972,15716.87704,9.841920191,45.36716798
2022-11-14T23:00:00+01:00,16403,16436.16552,16492.26216,16527.47328,16610.10373,16903.74056,17244.33698,15740.18735,20.07588251,45.99167026
2022-11-15T00:00:00+01:00,16607.5,16474.23985,16502.73833,16532.04624,16610.01074,16897.87441,17282.52209,15722.95457,42.0932194,53.33407334
2022-11-15T01:00:00+01:00,16552,16491.51988,16507.21666,16533.18645,16607.93893,16891.02541,17264.0873,15750.34603,52.14635748,51.2958848
2022-11-15T02:00:00+01:00,16697,16537.18213,16524.46969,16542.54723,16611.11968,16887.18333,17288.24242,15760.69696,69.15831223,56.02426521
2022-11-15T03:00:00+01:00,16748.5,16584.14166,16544.83609,16554.31596,16616.02612,16884.43712,17280.62505,15809.04712,79.80740198,57.59878793
