time,close,EMA 1,EMA 2,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,Volume,K,RSI
2022-01-09T05:00:00+01:00,42066,41821.37092,41725.37953,42149.3167,41301.44236,42573.25387,40877.50519,42997.19105,40453.56801,1013.891,92.91080211,55.90114507
2022-01-09T06:00:00+01:00,41764.5,41808.73294,41728.93594,42147.73474,41310.13713,42566.53354,40891.33833,42985.33234,40472.53953,1332.719,85.16190405,50.18199958
2022-01-09T07:00:00+01:00,41854.5,41818.9034,41740.35085,42145.80688,41334.89482,42551.26291,40929.43879,42956.71894,40523.98276,1124.758,84.70028338,51.76829097
2022-01-09T08:00:00+01:00,41810.5,41817.03598,41746.72805,42129.43722,41364.01887,42512.14639,40981.3097,42894.85556,40598.60053,582.246,79.27597602,50.91472919
2022-01-09T09:00:00+01:00,41666.5,41783.58354,41739.43459,42116.73596,41362.13321,42494.03733,40984.83184,42871.33871,40607.53047,1591.088,74.91179039,48.11846987
2022-01-09T10:00:00+01:00,41518.5,41724.67608,41719.34962,42087.98661,41350.71264,42456.6236,40982.07565,42825.26059,40613.43866,1543.418,62.56467694,45.36106131
2022-01-09T11:00:00+01:00,41639.5,41705.74807,41712.09057,42075.2892,41348.89193,42438.48784,40985.6933,42801.68647,40622.49467,1923.248,43.5070476,47.98541743
2022-01-09T12:00:00+01:00,41844,41736.47072,41724.08233,42087.08821,41361.07646,42450.09408,40998.07059,42813.09996,40635.06471,2155.49,41.28036893,52.16700071
2022-01-09T13:00:00+01:00,41750.5,41739.58834,41726.48394,42079.88225,41373.08563,42433.28056,41019.68732,42786.67888,40666.28901,1129.271,39.76765842,50.18065454
2022-01-09T14:00:00+01:00,41500,41686.34648,41705.89449,42061.19292,41350.59606,42416.49136,40995.29763,42771.78979,40639.9992,2110.87,32.44377685,45.21349663
2022-01-09T15:00:00+01:00,41551.5,41656.3806,41691.85863,42038.63574,41345.08151,42385.41286,40998.3044,42732.18998,40651.52728,1283.281,16.68912641,46.38843295
2022-01-09T16:00:00+01:00,41632,41650.96269,41686.41694,42051.70997,41321.1239,42417.00301,40955.83086,42782.29604,40590.53783,3792.265,11.62724113,48.25640627
2022-01-09T17:00:00+01:00,42118,41754.74876,41725.65176,42105.49529,41345.80823,42485.33883,40965.96469,42865.18236,40586.12116,2802.493,44.96057446,57.81322889
2022-01-09T18:00:00+01:00,42086.5,41828.47126,41758.45614,42135.52514,41381.38715,42512.59414,41004.31815,42889.66313,40627.24916,2575.111,73.10829422,57.07739456
2022-01-09T19:00:00+01:00,41936,41852.36653,41774.5965,42153.55342,41395.63957,42532.51034,41016.68265,42911.46727,40637.72572,1778.638,86.82558023,53.56923837
2022-01-09T20:00:00+01:00,42683,42036.95175,41857.17863,42267.5672,41446.79006,42677.95578,41036.40149,43088.34435,40626.01291,3607.301,86.82558023,65.05119489
2022-01-09T21:00:00+01:00,42423,42122.74025,41908.61694,42318.72776,41498.50612,42728.83857,41088.3953,43138.94939,40678.28449,1695.908,79.49987551,59.53290403
2022-01-09T22:00:00+01:00,42300.5,42162.24241,41944.24267,42341.73843,41546.74691,42739.23419,41149.25115,43136.72995,40751.75539,893.492,77.32720825,57.07620571
2022-01-09T23:00:00+01:00,42186.5,42167.63299,41966.26606,42363.01213,41569.52,42759.75819,41172.77394,43156.50425,40776.02788,1251.822,60.11798804,54.80945535
