time,open,high,low,close,EMA 1 (8),EMA 2 (21),EMA 3 (34),EMA 4 (55),EMA 5 (100),Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-01T01:00:00+01:00,20480,20480,20443,20467.5,20475.83264,20463.11956,20450.31294,20438.34925,20439.0728,20528.03186,20398.20727,35.26147667,54.13126037
2022-11-01T01:05:00+01:00,20467.5,20467.5,20442.5,20456.5,20471.5365,20462.51778,20450.66649,20438.99749,20439.41789,20528.15063,20396.88494,12.3370148,49.90187594
2022-11-01T01:10:00+01:00,20456.5,20489.5,20456,20475.5,20472.41728,20463.69799,20452.08554,20440.30115,20440.13239,20531.82134,20395.57463,12.94435634,56.25903378
2022-11-01T01:15:00+01:00,20475.5,20480,20466,20466.5,20471.10233,20463.95271,20452.90923,20441.23683,20440.65452,20530.21012,20397.69531,18.92429536,52.83870919
2022-11-01T01:20:00+01:00,20466.5,20470,20456.5,20457,20467.96848,20463.32065,20453.14299,20441.7998,20440.97819,20527.73824,20398.90306,18.92429536,49.42308057
2022-11-01T01:25:00+01:00,20457,20457,20426.5,20439.5,20461.64215,20461.15514,20452.36339,20441.71766,20440.94892,20527.50718,20394.80309,5.979939012,43.80553551
2022-11-01T01:30:00+01:00,20439.5,20476.5,20439.5,20455.5,20460.27723,20460.64103,20452.54262,20442.20989,20441.23706,20530.18222,20391.09985,9.212193086,49.4614888
2022-11-01T01:35:00+01:00,20455.5,20471.5,20449.5,20471.5,20462.77118,20461.62821,20453.6259,20443.25596,20441.83633,20530.91646,20392.33997,26.47415236,54.40375404
2022-11-01T01:40:00+01:00,20471.5,20471.5,20457.5,20461.5,20462.48869,20461.61656,20454.07585,20443.90753,20442.22571,20528.95564,20394.27747,38.26381184,51.04395993
2022-11-01T01:45:00+01:00,20461.5,20461.5,20450,20450.5,20459.82454,20460.60596,20453.87151,20444.14298,20442.38955,20525.59939,20395.61252,35.17367919,47.56425914
2022-11-01T01:50:00+01:00,20450.5,20450.5,20441,20442.5,20455.97464,20458.95996,20453.22171,20444.0843,20442.39174,20521.34672,20396.5732,20.10708419,45.15340976
2022-11-01T01:55:00+01:00,20442.5,20446.5,20442,20444.5,20453.42472,20457.64542,20452.72333,20444.09915,20442.43349,20516.54027,20398.75057,11.96148579,45.89178519
2022-11-01T02:00:00+01:00,20444.5,20452.5,20444,20452.5,20453.21923,20457.17766,20452.71057,20444.39918,20442.63282,20513.68716,20400.66815,16.60539926,48.8576604
2022-11-01T02:05:00+01:00,20452.5,20455.5,20452,20455,20453.61495,20456.97969,20452.84139,20444.77778,20442.87772,20510.2028,20403.75658,30.41211601,49.78399216
2022-11-01T02:10:00+01:00,20455,20473.5,20455,20466,20456.36719,20457.79972,20453.59331,20445.53572,20443.33559,20511.18546,20404.41397,53.39423963,53.75320986
2022-11-01T02:15:00+01:00,20466,20467,20449,20454,20455.84115,20457.45429,20453.61655,20445.83801,20443.54676,20510.88391,20404.02467,57.02906351,49.18574482
2022-11-01T02:20:00+01:00,20454,20498,20453.5,20491,20463.65422,20460.5039,20455.75275,20447.45094,20444.48643,20519.65283,20401.35496,74.36031581,60.36785101
2022-11-01T02:25:00+01:00,20491,20510,20486.5,20505.5,20472.95329,20464.59445,20458.59545,20449.52412,20445.69462,20524.55418,20404.63473,81.06746445,63.7358114
2022-11-01T02:30:00+01:00,20505.5,20539.5,20505.5,20527,20484.96367,20470.26768,20462.50428,20452.29112,20447.30463,20533.23028,20407.30508,100,68.06881921
