Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2020-10-10,0.6174999999999999,93.0475,0.25,25.023333333333333,-2.642857142857143,58.48064516129032,6.841935483870968,1.2,18803.664516129033,11302.1025
2020-10-11,0.605,93.035,0.25,25.046666666666667,-2.6362637362637362,58.44516129032258,6.835483870967742,1.2,18811.21612903226,11375.2725
2020-10-12,0.5925,93.283,0.25,25.07,-2.6296703296703297,58.409677419354836,6.829032258064516,1.2,18818.767741935484,11535.7025
2020-10-13,0.58,93.531,0.25,26.07,-2.623076923076923,58.3741935483871,6.822580645161291,1.2,18826.31935483871,11428.785
2020-10-14,0.59,93.382,0.25,26.4,-2.6164835164835165,58.33870967741935,6.816129032258065,1.2,18833.870967741936,11429.41
2020-10-15,0.6,93.856,0.25,26.97,-2.60989010989011,58.303225806451614,6.809677419354839,1.2,18841.42258064516,11506.8975
2020-10-16,0.62,93.687,0.25,27.41,-2.603296703296703,58.26774193548387,6.803225806451613,1.2,18848.974193548387,11325.495
2020-10-17,0.62,93.557,0.25,28.0,-2.5967032967032964,58.23225806451613,6.796774193548387,1.2,18856.525806451613,11367.0225
2020-10-18,0.62,93.427,0.25,28.59,-2.59010989010989,58.196774193548386,6.790322580645162,1.2,18864.07741935484,11513.1325
2020-10-19,0.62,93.247,0.25,29.18,-2.583516483516483,58.16129032258065,6.783870967741936,1.2,18871.629032258064,11760.85
2020-10-20,0.67,93.067,0.25,29.35,-2.5769230769230766,58.1258064516129,6.77741935483871,1.2,18879.18064516129,11923.335
2020-10-21,0.69,92.611,0.25,28.65,-2.57032967032967,58.090322580645164,6.770967741935484,1.2,18886.732258064516,12811.105
2020-10-22,0.71,92.951,0.25,28.11,-2.5637362637362635,58.05483870967742,6.764516129032258,1.2,18894.28387096774,12985.925
2020-10-23,0.67,92.768,0.25,27.55,-2.557142857142857,58.01935483870968,6.758064516129032,1.2,18901.835483870967,12940.1275
2020-10-24,0.6633333333333333,92.9065,0.25,29.186666666666667,-2.5505494505494504,57.983870967741936,6.751612903225807,1.2,18909.387096774193,13127.4175
2020-10-25,0.6566666666666667,93.045,0.25,30.823333333333334,-2.543956043956044,57.9483870967742,6.745161290322581,1.2,18916.93870967742,13042.115
2020-10-26,0.65,92.9925,0.25,32.46,-2.5373626373626372,57.91290322580645,6.738709677419355,1.2,18924.490322580645,13071.8175
2020-10-27,0.63,92.94,0.25,33.35,-2.5307692307692307,57.877419354838715,6.732258064516129,1.2,18932.04193548387,13663.92
2020-10-28,0.63,93.405,0.25,40.28,-2.524175824175824,57.84193548387097,6.725806451612903,1.2,18939.593548387096,13286.15
2020-10-29,0.69,93.955,0.25,37.59,-2.5175824175824175,57.80645161290323,6.719354838709678,1.2,18947.145161290322,13466.4225
2020-10-30,0.74,94.038,0.25,38.02,-2.510989010989011,57.770967741935486,6.712903225806452,1.2,18954.696774193548,13570.475
2020-10-31,0.73,94.0835,0.25,37.723333333333336,-2.5043956043956044,57.73548387096774,6.706451612903226,1.2,18962.248387096774,13809.855
2020-11-01,0.72,94.129,0.25,37.42666666666667,-2.497802197802198,57.7,6.7,1.2,18969.8,13768.1925
2020-11-02,0.71,93.84100000000001,0.25,37.13,-2.4912087912087912,57.79333333333334,6.7,1.2066666666666666,18974.963333333333,13569.8975
2020-11-03,0.73,93.553,0.25,35.55,-2.4846153846153847,57.88666666666667,6.7,1.2133333333333334,18980.126666666667,14037.9525
2020-11-04,0.64,93.407,0.25,29.57,-2.478021978021978,57.980000000000004,6.7,1.22,18985.29,14162.7275
2020-11-05,0.65,92.525,0.25,27.58,-2.4714285714285715,58.07333333333334,6.7,1.2266666666666666,18990.45333333333,15610.2425
2020-11-06,0.67,92.229,0.25,24.86,-2.4648351648351645,58.16666666666667,6.7,1.2333333333333334,18995.616666666665,15601.6325
2020-11-07,0.7100000000000001,92.477,0.25,25.156666666666666,-2.458241758241758,58.260000000000005,6.7,1.24,19000.78,14838.965
2020-11-08,0.75,92.725,0.25,25.453333333333333,-2.4516483516483514,58.35333333333334,6.7,1.2466666666666666,19005.943333333333,15484.175
2020-11-09,0.79,92.737,0.25,25.75,-2.445054945054945,58.446666666666665,6.7,1.2533333333333332,19011.106666666667,15336.3475
2020-11-10,0.79,92.749,0.25,24.8,-2.4384615384615382,58.54,6.7,1.26,19016.27,15315.845
2020-11-11,0.75,93.043,0.25,23.45,-2.4318681318681317,58.63333333333333,6.7,1.2666666666666666,19021.433333333334,15708.3125
2020-11-12,0.71,92.963,0.25,25.35,-2.425274725274725,58.72666666666667,6.7,1.2733333333333332,19026.596666666668,16308.4025
2020-11-13,0.72,92.709,0.25,23.1,-2.4186813186813185,58.82,6.7,1.28,19031.76,16342.135
2020-11-14,0.72,92.6755,0.25,22.883333333333333,-2.412087912087912,58.913333333333334,6.7,1.2866666666666666,19036.923333333332,16084.31
2020-11-15,0.72,92.642,0.25,22.666666666666668,-2.4054945054945054,59.00666666666667,6.7,1.2933333333333332,19042.086666666666,15969.7475
2020-11-16,0.72,92.529,0.25,22.45,-2.398901098901099,59.1,6.7,1.2999999999999998,19047.25,16724.2975
2020-11-17,0.69,92.416,0.25,22.71,-2.3923076923076922,59.193333333333335,6.7,1.3066666666666666,19052.413333333334,17683.04
2020-11-18,0.72,92.316,0.25,23.84,-2.3857142857142857,59.28666666666667,6.7,1.3133333333333332,19057.576666666668,17792.575
2020-11-19,0.68,92.294,0.25,23.11,-2.379120879120879,59.38,6.7,1.3199999999999998,19062.74,17825.9375
2020-11-20,0.67,92.36,0.25,23.7,-2.372527472527472,59.473333333333336,6.7,1.3266666666666667,19067.903333333332,18682.275
2020-11-21,0.68,92.4325,0.25,23.35333333333333,-2.3659340659340655,59.56666666666667,6.7,1.3333333333333333,19073.066666666666,18719.7725
2020-11-22,0.69,92.505,0.25,23.006666666666668,-2.359340659340659,59.660000000000004,6.7,1.3399999999999999,19078.23,18442.9925
2020-11-23,0.7,92.3655,0.25,22.66,-2.3527472527472524,59.75333333333334,6.7,1.3466666666666667,19083.393333333333,18390.1275
