Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),spx,ndx,gold
2000-04-02,-0.45666666666666667,105.47,6.0,23.91,4.547826086956522,54.650000000000006,3.8066666666666666,3.1033333333333335,4765.693333333334,1524.8333333333333,4242.5,277.7
2000-04-03,-0.45,105.37,6.0,24.03,4.558695652173913,54.6,3.813333333333333,3.106666666666667,4765.286666666667,1528.5,4135.0,283.4
2000-04-04,-0.45,105.27,6.0,27.12,4.569565217391305,54.550000000000004,3.82,3.1100000000000003,4764.88,1518.25,4066.0,281.0
2000-04-05,-0.45,105.31,6.0,28.41,4.5804347826086955,54.5,3.8266666666666667,3.1133333333333333,4764.473333333333,1504.75,4060.0,280.0
2000-04-06,-0.45,105.5,6.0,27.15,4.591304347826087,54.45,3.833333333333333,3.1166666666666667,4764.066666666667,1516.5,4145.0,279.7
2000-04-07,-0.52,105.98,6.0,24.39,4.602173913043479,54.400000000000006,3.84,3.12,4763.66,1529.5,4337.0,280.3
2000-04-08,-0.5166666666666667,105.795,6.0,24.923333333333332,4.613043478260869,54.35,3.8466666666666667,3.1233333333333335,4763.253333333333,1526.8333333333333,4126.0,280.9
2000-04-09,-0.5133333333333333,105.61,6.0,25.456666666666667,4.623913043478261,54.300000000000004,3.853333333333333,3.126666666666667,4762.846666666667,1524.1666666666667,3915.0,281.5
2000-04-10,-0.51,105.72999999999999,6.0,25.99,4.6347826086956525,54.25,3.86,3.13,4762.4400000000005,1521.5,3704.0,281.1
2000-04-11,-0.47,105.85,6.0,27.25,4.645652173913044,54.2,3.8666666666666667,3.1333333333333333,4762.033333333334,1517.75,3952.0,281.7
2000-04-12,-0.43,105.94,6.0,27.85,4.656521739130435,54.150000000000006,3.873333333333333,3.1366666666666667,4761.626666666667,1476.0,3695.0,281.4
2000-04-13,-0.46,106.18,6.0,29.4,4.667391304347826,54.1,3.88,3.14,4761.22,1454.25,3581.5,282.1
2000-04-14,-0.42,105.68,6.0,33.49,4.678260869565218,54.050000000000004,3.8866666666666667,3.1433333333333335,4760.8133333333335,1367.5,3217.5,281.73333333333335
2000-04-15,-0.38666666666666666,105.91,6.0,31.976666666666667,4.689130434782609,54.0,3.893333333333333,3.146666666666667,4760.406666666667,1382.5833333333333,3337.5,281.3666666666667
2000-04-16,-0.35333333333333333,106.14,6.0,30.463333333333335,4.7,53.95,3.9,3.1500000000000004,4760.0,1397.6666666666667,3457.5,281.0
2000-04-17,-0.32,106.38,6.0,28.95,4.710869565217392,53.900000000000006,3.9066666666666667,3.1533333333333333,4759.593333333333,1412.75,3577.5,280.8
2000-04-18,-0.28,106.62,6.0,26.12,4.721739130434782,53.85,3.913333333333333,3.1566666666666667,4759.1866666666665,1452.75,3750.0,280.2
2000-04-19,-0.34,107.06,6.0,27.02,4.732608695652174,53.800000000000004,3.92,3.16,4758.78,1440.25,3622.5,279.3
2000-04-20,-0.39,107.45,6.0,25.85,4.743478260869566,53.75,3.9266666666666667,3.1633333333333336,4758.373333333333,1447.25,3535.0,279.3
2000-04-21,-0.3825,107.38,6.0,26.23,4.754347826086956,53.7,3.933333333333333,3.166666666666667,4757.966666666666,1444.6875,3505.5,279.3
2000-04-22,-0.375,107.31,6.0,26.61,4.765217391304348,53.650000000000006,3.94,3.17,4757.5599999999995,1442.125,3476.0,279.3
2000-04-23,-0.3675,107.24,6.0,26.990000000000002,4.776086956521739,53.6,3.9466666666666668,3.1733333333333333,4757.153333333333,1439.5625,3446.5,279.3
2000-04-24,-0.36,107.93,6.0,27.37,4.78695652173913,53.550000000000004,3.953333333333333,3.1766666666666667,4756.746666666667,1437.0,3417.0,277.9
2000-04-25,-0.34,108.62,6.0,25.24,4.797826086956522,53.5,3.96,3.18,4756.34,1489.25,3645.0,275.12
2000-04-26,-0.36,108.57,6.0,26.97,4.808695652173913,53.45,3.966666666666667,3.1833333333333336,4755.933333333333,1475.5,3527.5,276.8
2000-04-27,-0.4,109.58,6.0,26.19,4.819565217391305,53.400000000000006,3.973333333333333,3.186666666666667,4755.526666666667,1467.25,3685.0,273.1
2000-04-28,-0.45,110.13,6.0,26.2,4.8304347826086955,53.35,3.98,3.1900000000000004,4755.12,1460.0,3810.0,273.2
2000-04-29,-0.44666666666666666,109.85,6.0,26.093333333333334,4.841304347826087,53.300000000000004,3.986666666666667,3.1933333333333334,4754.713333333333,1465.6666666666667,3829.0,273.3
2000-04-30,-0.44333333333333336,109.57,6.0,25.986666666666665,4.852173913043479,53.25,3.993333333333333,3.1966666666666668,4754.306666666666,1471.3333333333333,3848.0,273.4
2000-05-01,-0.44,109.93,6.0,25.88,4.863043478260869,53.2,4.0,3.2,4753.9,1477.0,3867.0,274.7
2000-05-02,-0.4,110.29,6.033333333333333,28.5,4.873913043478261,53.141935483870974,4.0,3.2161290322580647,4754.477419354838,1451.5,3643.5,278.0
